label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972175_588757.png,prev_cloud_1780972175_686066.pcd,1780972175.588756561,1780972175.592467546,2516.000036000,1780972175.686065674,1780972175.686065674,19.782,514020,True,binary,x y z intensity,
center,center_image_1780972175_666284.png,center_cloud_1780972175_686066.pcd,1780972175.666283607,1780972175.670566082,2516.000036000,1780972175.686065674,1780972175.686065674,19.782,514020,True,binary,x y z intensity,
next,next_image_1780972175_748290.png,next_cloud_1780972175_686066.pcd,1780972175.748289585,1780972175.754208565,2516.000036000,1780972175.686065674,1780972175.686065674,19.782,514020,True,binary,x y z intensity,
