label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972207_908197.png,prev_cloud_1780972207_884801.pcd,1780972207.908196688,1780972207.911379337,2548.200006000,1780972207.884800911,1780972207.884800911,23.396,624000,False,binary,x y z intensity,
center,center_image_1780972207_988061.png,center_cloud_1780972207_987062.pcd,1780972207.988060951,1780972207.991317987,2548.299949000,1780972207.987061501,1780972207.987061501,0.999,603720,False,binary,x y z intensity,
next,next_image_1780972208_068108.png,next_cloud_1780972208_088688.pcd,1780972208.068108082,1780972208.075829029,2548.400045000,1780972208.088688135,1780972208.088688135,20.580,624000,False,binary,x y z intensity,
