label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972197_365164.png,prev_cloud_1780972197_392183.pcd,1780972197.365164042,1780972197.368760586,2537.700029000,1780972197.392183065,1780972197.392183065,27.019,583440,False,binary,x y z intensity,
center,center_image_1780972197_465480.png,center_cloud_1780972197_491354.pcd,1780972197.465480089,1780972197.469907522,2537.800004000,1780972197.491354465,1780972197.491354465,25.874,603460,False,binary,x y z intensity,
next,next_image_1780972197_572652.png,next_cloud_1780972197_587881.pcd,1780972197.572652102,1780972197.588905334,2537.899961000,1780972197.587881327,1780972197.587881327,15.229,614900,False,binary,x y z intensity,
