label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780281849_549200.png,prev_cloud_1780281849_587471.pcd,1780281849.549199581,1780281849.551995039,4294.500028000,1780281849.587471247,1780281849.587471247,60.228,607360,True,binary,x y z intensity,
center,center_image_1780281849_647699.png,center_cloud_1780281849_587471.pcd,1780281849.647698879,1780281849.650710583,4294.500028000,1780281849.587471247,1780281849.587471247,60.228,607360,True,binary,x y z intensity,
next,next_image_1780281849_749843.png,next_cloud_1780281849_587471.pcd,1780281849.749843359,1780281849.751821518,4294.500028000,1780281849.587471247,1780281849.587471247,60.228,607360,True,binary,x y z intensity,
