label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972193_190147.png,prev_cloud_1780972193_185958.pcd,1780972193.190147400,1780972193.195497036,2533.499952000,1780972193.185957909,1780972193.185957909,4.189,571740,False,binary,x y z intensity,
center,center_image_1780972193_288553.png,center_cloud_1780972193_289353.pcd,1780972193.288552523,1780972193.291551828,2533.600033000,1780972193.289352655,1780972193.289352655,0.800,624000,False,binary,x y z intensity,
next,next_image_1780972193_368896.png,next_cloud_1780972193_416646.pcd,1780972193.368896484,1780972193.372424364,2533.700024000,1780972193.416646004,1780972193.416646004,47.750,623480,False,binary,x y z intensity,
