label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972189_966240.png,prev_cloud_1780972189_995306.pcd,1780972189.966240406,1780972189.970326185,2530.299951000,1780972189.995305777,1780972189.995305777,29.065,486720,False,binary,x y z intensity,
center,center_image_1780972190_048123.png,center_cloud_1780972190_088875.pcd,1780972190.048123121,1780972190.055604935,2530.400032000,1780972190.088875294,1780972190.088875294,40.752,404040,False,binary,x y z intensity,
next,next_image_1780972190_126184.png,next_cloud_1780972190_088875.pcd,1780972190.126183987,1780972190.131944895,2530.400032000,1780972190.088875294,1780972190.088875294,37.309,404040,False,binary,x y z intensity,
