label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972194_306310.png,prev_cloud_1780972194_295879.pcd,1780972194.306310415,1780972194.311768532,2534.600004000,1780972194.295878887,1780972194.295878887,10.432,624000,False,binary,x y z intensity,
center,center_image_1780972194_407366.png,center_cloud_1780972194_382407.pcd,1780972194.407365799,1780972194.412231445,2534.699964000,1780972194.382406950,1780972194.382406950,24.959,431340,False,binary,x y z intensity,
next,next_image_1780972194_505908.png,next_cloud_1780972194_499837.pcd,1780972194.505908012,1780972194.509969950,2534.800043000,1780972194.499836922,1780972194.499836922,6.071,624000,False,binary,x y z intensity,
