label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972209_784507.png,prev_cloud_1780972209_786950.pcd,1780972209.784506798,1780972209.790531874,2550.100026000,1780972209.786950111,1780972209.786950111,2.443,461240,False,binary,x y z intensity,
center,center_image_1780972209_904449.png,center_cloud_1780972209_886011.pcd,1780972209.904449224,1780972209.908015013,2550.200004000,1780972209.886011124,1780972209.886011124,18.438,624000,False,binary,x y z intensity,
next,next_image_1780972210_025093.png,next_cloud_1780972209_987448.pcd,1780972210.025093317,1780972210.029590368,2550.299954000,1780972209.987447500,1780972209.987447500,37.646,624000,False,binary,x y z intensity,
