label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780281864_588292.png,prev_cloud_1780281864_586697.pcd,1780281864.588291645,1780281864.591396093,4309.499949000,1780281864.586696625,1780281864.586696625,1.595,624000,False,binary,x y z intensity,
center,center_image_1780281864_730117.png,center_cloud_1780281864_686698.pcd,1780281864.730117321,1780281864.732554197,4309.600032000,1780281864.686698198,1780281864.686698198,43.419,624000,False,binary,x y z intensity,
next,next_image_1780281864_810141.png,next_cloud_1780281864_786166.pcd,1780281864.810140848,1780281864.813021183,4309.700031000,1780281864.786166430,1780281864.786166430,23.974,624000,False,binary,x y z intensity,
