label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972164_329455.png,prev_cloud_1780972164_291722.pcd,1780972164.329454899,1780972164.332697392,2504.600007000,1780972164.291722059,1780972164.291722059,37.733,514020,False,binary,x y z intensity,
center,center_image_1780972164_408039.png,center_cloud_1780972164_390548.pcd,1780972164.408039093,1780972164.411757231,2504.699960000,1780972164.390548468,1780972164.390548468,17.491,514280,False,binary,x y z intensity,
next,next_image_1780972164_488697.png,next_cloud_1780972164_484465.pcd,1780972164.488696814,1780972164.492303848,2504.800035000,1780972164.484464645,1780972164.484464645,4.232,500760,False,binary,x y z intensity,
