label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972187_426723.png,prev_cloud_1780972187_411894.pcd,1780972187.426723003,1780972187.430700779,2527.700019000,1780972187.411893606,1780972187.411893606,14.829,522860,False,binary,x y z intensity,
center,center_image_1780972187_566401.png,center_cloud_1780972187_586516.pcd,1780972187.566401482,1780972187.580733776,2527.899943000,1780972187.586516142,1780972187.586516142,20.115,584740,False,binary,x y z intensity,
next,next_image_1780972187_714526.png,next_cloud_1780972187_704238.pcd,1780972187.714525700,1780972187.718404055,2528.000030000,1780972187.704238176,1780972187.704238176,10.288,420680,False,binary,x y z intensity,
