label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_fields,skipped_fields
prev,prev_image_1780280155_139133.png,prev_cloud_1780280155_098930.pcd,1780280155.139132977,1780280155.523606062,2600.100032000,1780280155.098930120,1780280155.098930120,40.203,114660,False,x y z intensity,
center,center_image_1780280155_376264.png,center_cloud_1780280155_381198.pcd,1780280155.376264095,1780280155.775014877,2600.400037000,1780280155.381197929,1780280155.381197929,4.934,354120,False,x y z intensity,
next,next_image_1780280155_611875.png,next_cloud_1780280155_607122.pcd,1780280155.611874580,1780280155.941146612,2600.599998000,1780280155.607122421,1780280155.607122421,4.752,516360,False,x y z intensity,
