label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972170_527090.png,prev_cloud_1780972170_502313.pcd,1780972170.527089596,1780972170.530796289,2510.800035000,1780972170.502312660,1780972170.502312660,24.777,611260,False,binary,x y z intensity,
center,center_image_1780972170_606735.png,center_cloud_1780972170_591666.pcd,1780972170.606734514,1780972170.610673904,2510.900024000,1780972170.591666222,1780972170.591666222,15.068,407940,False,binary,x y z intensity,
next,next_image_1780972170_687075.png,next_cloud_1780972170_681851.pcd,1780972170.687075138,1780972170.691069603,2511.000001000,1780972170.681850672,1780972170.681850672,5.224,485160,False,binary,x y z intensity,
