label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_fields,skipped_fields
prev,prev_image_1780279953_209802.png,prev_cloud_1780279953_190184.pcd,1780279953.209801912,1780279953.546891689,2398.199995000,1780279953.190183640,1780279953.190183640,19.618,617760,False,x y z intensity,
center,center_image_1780279953_310265.png,center_cloud_1780279953_288908.pcd,1780279953.310264587,1780279953.751520872,2398.299940000,1780279953.288907766,1780279953.288907766,21.357,425100,False,x y z intensity,
next,next_image_1780279953_592497.png,next_cloud_1780279953_632470.pcd,1780279953.592496872,1780279953.923166990,2398.600000000,1780279953.632470369,1780279953.632470369,39.973,550940,False,x y z intensity,
