label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972182_026152.png,prev_cloud_1780972181_988829.pcd,1780972182.026151657,1780972182.030392170,2522.299967000,1780972181.988828659,1780972181.988828659,37.323,624000,False,binary,x y z intensity,
center,center_image_1780972182_105799.png,center_cloud_1780972182_088634.pcd,1780972182.105798960,1780972182.109835863,2522.400038000,1780972182.088634253,1780972182.088634253,17.165,586820,False,binary,x y z intensity,
next,next_image_1780972182_185854.png,next_cloud_1780972182_184362.pcd,1780972182.185854435,1780972182.191168785,2522.500020000,1780972182.184361696,1780972182.184361696,1.493,595140,False,binary,x y z intensity,
