label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972199_485891.png,prev_cloud_1780972199_490520.pcd,1780972199.485891104,1780972199.491650343,2539.800005000,1780972199.490520239,1780972199.490520239,4.629,616720,False,binary,x y z intensity,
center,center_image_1780972199_579276.png,center_cloud_1780972199_615296.pcd,1780972199.579276085,1780972199.593874693,2539.899965000,1780972199.615295887,1780972199.615295887,36.020,520000,False,binary,x y z intensity,
next,next_image_1780972199_645953.png,next_cloud_1780972199_615296.pcd,1780972199.645952702,1780972199.649561405,2539.899965000,1780972199.615295887,1780972199.615295887,30.657,520000,False,binary,x y z intensity,
