label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972204_085977.png,prev_cloud_1780972204_183292.pcd,1780972204.085977077,1780972204.090162039,2544.500024000,1780972204.183291674,1780972204.183291674,3.125,437060,True,binary,x y z intensity,
center,center_image_1780972204_186417.png,center_cloud_1780972204_183292.pcd,1780972204.186416864,1780972204.191671133,2544.500024000,1780972204.183291674,1780972204.183291674,3.125,437060,True,binary,x y z intensity,
next,next_image_1780972204_265883.png,next_cloud_1780972204_183292.pcd,1780972204.265882969,1780972204.270086765,2544.500024000,1780972204.183291674,1780972204.183291674,3.125,437060,True,binary,x y z intensity,
