label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972201_944847.png,prev_cloud_1780972201_898358.pcd,1780972201.944846869,1780972201.949463129,2542.199999000,1780972201.898358345,1780972201.898358345,46.489,596440,False,binary,x y z intensity,
center,center_image_1780972202_065052.png,center_cloud_1780972202_112514.pcd,1780972202.065051794,1780972202.068833590,2542.400030000,1780972202.112514019,1780972202.112514019,47.462,618800,False,binary,x y z intensity,
next,next_image_1780972202_166292.png,next_cloud_1780972202_211017.pcd,1780972202.166292429,1780972202.182975292,2542.500026000,1780972202.211017370,1780972202.211017370,44.725,581880,False,binary,x y z intensity,
