label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972185_706036.png,prev_cloud_1780972185_750008.pcd,1780972185.706035614,1780972185.710675001,2526.000030000,1780972185.750007629,1780972185.750007629,43.972,610220,False,binary,x y z intensity,
center,center_image_1780972185_799621.png,center_cloud_1780972185_778551.pcd,1780972185.799620867,1780972185.803281546,2526.100025000,1780972185.778550863,1780972185.778550863,21.070,350220,False,binary,x y z intensity,
next,next_image_1780972185_914083.png,next_cloud_1780972185_877339.pcd,1780972185.914083481,1780972185.931749344,2526.200008000,1780972185.877339363,1780972185.877339363,36.744,420940,False,binary,x y z intensity,
