label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972196_126855.png,prev_cloud_1780972196_080610.pcd,1780972196.126854897,1780972196.131311417,2536.400033000,1780972196.080610275,1780972196.080610275,46.245,460980,False,binary,x y z intensity,
center,center_image_1780972196_245110.png,center_cloud_1780972196_290214.pcd,1780972196.245109797,1780972196.248692274,2536.600010000,1780972196.290214300,1780972196.290214300,45.105,624000,False,binary,x y z intensity,
next,next_image_1780972196_327334.png,next_cloud_1780972196_290214.pcd,1780972196.327333689,1780972196.331753254,2536.600010000,1780972196.290214300,1780972196.290214300,37.119,624000,False,binary,x y z intensity,
