label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972188_825380.png,prev_cloud_1780972188_799201.pcd,1780972188.825380087,1780972188.828654766,2529.099947000,1780972188.799201012,1780972188.799201012,26.179,589940,False,binary,x y z intensity,
center,center_image_1780972188_926214.png,center_cloud_1780972188_885844.pcd,1780972188.926214457,1780972188.929958820,2529.200033000,1780972188.885844231,1780972188.885844231,40.370,549380,False,binary,x y z intensity,
next,next_image_1780972189_086177.png,next_cloud_1780972189_083776.pcd,1780972189.086177349,1780972189.089500189,2529.400009000,1780972189.083776236,1780972189.083776236,2.401,624000,False,binary,x y z intensity,
