label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972205_705364.png,prev_cloud_1780972205_679733.pcd,1780972205.705364227,1780972205.709352016,2546.000037000,1780972205.679733038,1780972205.679733038,25.631,366080,False,binary,x y z intensity,
center,center_image_1780972205_785201.png,center_cloud_1780972205_788860.pcd,1780972205.785200834,1780972205.789923906,2546.100030000,1780972205.788859606,1780972205.788859606,3.659,572260,False,binary,x y z intensity,
next,next_image_1780972205_885789.png,next_cloud_1780972205_886328.pcd,1780972205.885789156,1780972205.892087460,2546.200005000,1780972205.886328459,1780972205.886328459,0.539,624000,False,binary,x y z intensity,
