label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972180_847679.png,prev_cloud_1780972180_881174.pcd,1780972180.847679377,1780972180.853626013,2521.200034000,1780972180.881174088,1780972180.881174088,48.592,342420,True,binary,x y z intensity,
center,center_image_1780972180_929766.png,center_cloud_1780972180_881174.pcd,1780972180.929766417,1780972180.934190035,2521.200034000,1780972180.881174088,1780972180.881174088,48.592,342420,True,binary,x y z intensity,
next,next_image_1780972181_046222.png,next_cloud_1780972180_881174.pcd,1780972181.046221972,1780972181.051581621,2521.200034000,1780972180.881174088,1780972180.881174088,48.592,342420,True,binary,x y z intensity,
