label,image_file,pcd_file,image_header_stamp,image_recv_stamp,cloud_header_stamp,cloud_recv_stamp,matched_cloud_stamp,sync_delta_ms,point_count,fallback_to_center_cloud,pcd_data,pcd_fields,skipped_fields
prev,prev_image_1780972183_046064.png,prev_cloud_1780972183_080537.pcd,1780972183.046063900,1780972183.049497128,2523.400005000,1780972183.080536842,1780972183.080536842,34.473,403260,False,binary,x y z intensity,
center,center_image_1780972183_146885.png,center_cloud_1780972183_174246.pcd,1780972183.146885395,1780972183.152916431,2523.499953000,1780972183.174245834,1780972183.174245834,27.360,296920,False,binary,x y z intensity,
next,next_image_1780972183_215825.png,next_cloud_1780972183_174246.pcd,1780972183.215824842,1780972183.229233980,2523.499953000,1780972183.174245834,1780972183.174245834,41.579,296920,False,binary,x y z intensity,
